Publisher,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020
DreamWorks Interactive,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,
Dusenberry Martin Racing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,
EA Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,
EON Digital Entertainment,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,
ESP,,,,,,,,,,,,,,,,,,0.42,0.56,,,,0.5900000000000001,,,,,,,,,,,,,,,,
Easy Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,
Ecole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,
Edia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,0.09000000000000001,,,,,,,,,
Eidos Interactive,,,,,,,,,,,,,,,,,5.890000000000001,19.44,27.12,38.760000000000005,43.32000000000001,45.53000000000001,52.41000000000001,58.48000000000001,61.48000000000001,69.48,73.86,80.36,85.84,96.75,,,,,,,,,
Electronic Arts,,,,,,,,,,,,,0.06,,0.71,4.039999999999999,11.939999999999998,34.879999999999995,64.82999999999998,84.97999999999999,110.10999999999999,155.23,228.24,298.07,365.40000000000003,432.4100000000001,490.8200000000001,562.1500000000001,646.2700000000001,732.4700000000001,813.8500000000001,886.1000000000001,936.0000000000001,988.9200000000001,1035.72,1081.14,1093.39,,
Electronic Arts Victor,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,
Elf,,,,,,,,,,,,,,,,,0.36,0.64,,,,,,,,,,,,,,,,,,,,,
Elite,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,
